ListingID,City,PropertyType,BHK,Bathrooms,Balconies,Furnishing,CarpetArea_sqft,Floor,TotalFloors,BuildingType,YearBuilt,AgeYears,Facing,Price_INR
HP01491,Kolkata,Independent House,5,6,2,Furnished,3635,0,2,Bungalow,2001,24,West,37250000
HP00693,Chennai,Penthouse,4,4,1,Furnished,2129,9,32,High Rise,2024,1,North-West,38970000
HP00431,Chennai,Apartment,1,1,1,Unfurnished,524,9,9,Mid Rise,2010,15,North-West,5520000
HP01451,Delhi NCR,Apartment,2,3,1,Furnished,1059,1,3,Standalone Building,2001,24,North-West,12210000
HP00253,Kolkata,Villa,4,4,1,Unfurnished,2075,1,2,Standalone Building,2001,24,South-East,29160000
HP02222,Ahmedabad,Apartment,3,4,1,Semi-Furnished,1040,2,6,Gated Community,2025,0,North-East,8610000
HP01801,Pune,Penthouse,3,3,2,Unfurnished,1310,2,29,High Rise,2008,17,North-East,20110000
HP02246,Hyderabad,Apartment,2,3,2,Unfurnished,1128,10,18,High Rise,2004,21,East,12120000
HP00198,Kolkata,Apartment,2,3,1,Semi-Furnished,1153,2,12,Mid Rise,2007,18,South-East,11820000
HP01105,MMR,Independent House,6,6,2,Unfurnished,3117,1,2,Standalone Building,2021,4,South-East,74220000
HP00107,Bengaluru,Villa,3,4,3,Semi-Furnished,1693,2,4,Low Rise,2016,9,East,21500000
HP00255,Hyderabad,Apartment,2,2,1,Semi-Furnished,1007,9,10,Mid Rise,2002,23,East,12610000
HP01580,Pune,Apartment,2,3,2,Unfurnished,813,1,14,High Rise,2022,3,North,9090000
HP00845,Kolkata,Row House,3,4,1,Semi-Furnished,1479,0,3,Bungalow,2016,9,South-West,23840000
HP01368,MMR,Apartment,2,2,2,Furnished,1145,3,4,Standalone Building,2009,16,North-West,24020000
HP02248,Delhi NCR,Row House,3,3,1,Furnished,1676,1,7,Gated Community,2024,1,North,24720000
HP01901,MMR,Penthouse,3,4,1,Unfurnished,1407,20,20,High Rise,2009,16,West,48440000
HP00711,Kolkata,Independent House,4,5,2,Unfurnished,2000,0,3,Bungalow,2017,8,West,18030000
HP00303,Bengaluru,Row House,3,4,2,Furnished,1265,3,5,Standalone Building,2025,0,North-East,18830000
HP00277,Ahmedabad,Apartment,3,4,1,Semi-Furnished,1062,18,40,High Rise,2017,8,South,7350000
HP00831,Delhi NCR,Apartment,3,4,1,Semi-Furnished,1302,3,3,Standalone Building,2017,8,South,16160000
HP00473,Bengaluru,Independent House,5,5,1,Unfurnished,2205,2,8,Gated Community,2014,11,South-West,26450000
HP01615,Bengaluru,Apartment,1,2,1,Unfurnished,504,28,40,High Rise,2017,8,West,7550000
HP00848,Kolkata,Apartment,1,1,2,Furnished,505,6,7,Gated Community,2025,0,North-East,6280000
HP00393,Ahmedabad,Villa,3,3,2,Furnished,1173,1,6,Gated Community,2015,10,South-West,12240000
HP00748,Chennai,Apartment,4,5,1,Furnished,2590,10,13,High Rise,2018,7,South-West,36790000
HP02209,Chennai,Apartment,1,2,1,Unfurnished,756,1,2,Standalone Building,2012,13,West,7430000
HP01956,Chennai,Studio,0,2,1,Unfurnished,479,3,5,Standalone Building,2021,4,South,5800000
HP01420,Kolkata,Apartment,1,1,2,Semi-Furnished,568,10,12,High Rise,2017,8,South-East,5470000
HP00593,Pune,Apartment,4,4,1,Unfurnished,2386,30,36,High Rise,2003,22,North-East,29120000
HP01401,Kolkata,Independent House,4,5,2,Unfurnished,1631,0,4,Standalone Building,2019,6,South,18180000
HP02342,Delhi NCR,Apartment,1,2,2,Semi-Furnished,794,1,2,Standalone Building,2002,23,North,9130000
HP00394,Hyderabad,Apartment,2,2,1,Semi-Furnished,1097,2,5,Standalone Building,2025,0,South,14340000
HP00864,Chennai,Apartment,2,2,2,Unfurnished,1275,2,2,Standalone Building,2003,22,South,15080000
HP00547,Ahmedabad,Row House,3,4,1,Furnished,1831,0,3,Bungalow,1998,27,North,12840000
HP01543,Bengaluru,Apartment,2,2,2,Furnished,949,4,5,Standalone Building,2017,8,North,12650000
HP02228,Hyderabad,Villa,4,5,2,Furnished,2007,0,2,Bungalow,2022,3,South-East,27340000
HP02144,Pune,Villa,4,5,2,Semi-Furnished,1916,1,3,Low Rise,2013,12,East,26650000
HP00009,Hyderabad,Apartment,3,3,2,Furnished,1238,22,22,High Rise,2025,0,South,15080000
HP01600,Bengaluru,Apartment,4,4,1,Unfurnished,2428,33,36,High Rise,2016,9,North,30820000
HP00506,Delhi NCR,Apartment,2,3,1,Furnished,1259,3,7,Mid Rise,2016,9,South-East,14600000
HP02224,Bengaluru,Apartment,3,3,2,Unfurnished,1004,4,7,Mid Rise,2014,11,South,11990000
HP01237,Bengaluru,Apartment,2,3,2,Semi-Furnished,1229,2,2,Standalone Building,2019,6,North-West,15760000
HP02315,Hyderabad,Row House,2,2,2,Semi-Furnished,1072,0,5,Low Rise,2019,6,North-West,12470000
HP01050,Pune,Apartment,2,2,1,Semi-Furnished,1282,15,28,High Rise,2010,15,South-West,14330000
HP01671,Chennai,Apartment,3,3,1,Semi-Furnished,1126,4,9,Mid Rise,1996,29,West,13240000
HP02257,Chennai,Row House,2,2,2,Semi-Furnished,864,4,12,Gated Community,2009,16,South-West,11990000
HP00328,Ahmedabad,Penthouse,3,3,1,Unfurnished,1278,25,33,High Rise,2025,0,South,14590000
HP00051,Delhi NCR,Apartment,2,3,2,Furnished,1129,0,2,Standalone Building,2023,2,South-West,17160000
HP01718,Bengaluru,Apartment,2,2,1,Semi-Furnished,738,2,8,Gated Community,2008,17,East,7880000
HP01762,Chennai,Studio,0,1,1,Unfurnished,374,1,4,Standalone Building,2015,10,North,4180000
HP01683,Delhi NCR,Independent House,3,4,1,Semi-Furnished,1495,2,4,Standalone Building,2014,11,South-West,19800000
HP01741,Pune,Penthouse,2,2,2,Unfurnished,794,8,25,High Rise,2023,2,North,14420000
HP01791,Ahmedabad,Apartment,4,5,2,Semi-Furnished,1440,1,2,Standalone Building,2009,16,North,10620000
HP00058,Delhi NCR,Villa,5,6,1,Unfurnished,3277,3,3,Standalone Building,2025,0,North-West,47850000
HP00363,Hyderabad,Apartment,3,4,1,Semi-Furnished,1608,13,14,High Rise,2020,5,North,19780000
HP00623,Chennai,Apartment,3,3,2,Unfurnished,1765,13,15,High Rise,2009,16,South-East,25330000
HP00699,Pune,Apartment,3,4,1,Semi-Furnished,1749,9,9,Gated Community,2010,15,South,21810000
HP01673,Pune,Apartment,3,3,1,Unfurnished,1602,7,7,Mid Rise,2017,8,North-West,19280000
HP01284,Kolkata,Apartment,2,2,2,Furnished,812,2,20,High Rise,2005,20,North-West,9950000
HP01309,Kolkata,Independent House,5,6,1,Semi-Furnished,3730,0,2,Bungalow,2004,21,South-East,36240000
HP00124,Ahmedabad,Studio,0,2,1,Unfurnished,525,14,25,High Rise,2015,10,South-West,3390000
HP01851,Pune,Apartment,1,2,2,Semi-Furnished,517,2,3,Low Rise,2011,14,West,6330000
HP00459,MMR,Penthouse,4,4,2,Semi-Furnished,1806,1,26,High Rise,2020,5,East,59090000
HP02048,Delhi NCR,Independent House,3,4,1,Semi-Furnished,1071,2,2,Low Rise,2011,14,South,13400000
HP00213,MMR,Apartment,1,2,1,Furnished,690,4,5,Standalone Building,2003,22,North-West,14480000
HP01959,Pune,Apartment,1,1,2,Semi-Furnished,792,1,10,Gated Community,2013,12,East,9340000
HP01911,MMR,Independent House,2,3,1,Semi-Furnished,979,5,7,Gated Community,2018,7,South,22770000
HP00170,Hyderabad,Independent House,4,5,1,Semi-Furnished,2246,0,2,Bungalow,1998,27,West,25700000
HP00901,MMR,Apartment,3,4,2,Semi-Furnished,1592,5,6,Gated Community,2025,0,West,38300000
HP01076,Pune,Apartment,4,4,1,Unfurnished,1574,2,10,Gated Community,2014,11,North-East,23280000
HP00962,Delhi NCR,Apartment,2,3,3,Semi-Furnished,1130,4,8,Mid Rise,2012,13,East,15250000
HP00458,Pune,Penthouse,3,3,3,Semi-Furnished,1653,12,18,High Rise,2016,9,North,31310000
HP00992,Bengaluru,Apartment,4,5,1,Unfurnished,1557,2,11,Gated Community,2008,17,East,17620000
HP01149,Hyderabad,Villa,4,4,2,Unfurnished,2030,0,2,Bungalow,2022,3,West,27230000
HP00391,Ahmedabad,Studio,0,1,1,Semi-Furnished,495,2,4,Standalone Building,2007,18,North-West,3150000
HP01831,Pune,Apartment,2,3,2,Semi-Furnished,918,3,6,Mid Rise,2009,16,North-West,13020000
HP00636,Delhi NCR,Apartment,3,4,1,Semi-Furnished,1074,7,12,High Rise,2018,7,East,13590000
HP02321,Pune,Row House,2,2,2,Unfurnished,1217,0,3,Bungalow,2020,5,South-West,16200000
HP00564,MMR,Row House,3,3,2,Furnished,1013,0,3,Bungalow,2020,5,South-East,25110000
HP01296,Kolkata,Villa,4,5,1,Unfurnished,1715,0,3,Standalone Building,2017,8,North-West,23710000
HP01043,Delhi NCR,Apartment,2,3,2,Unfurnished,1056,3,10,Gated Community,2007,18,West,12820000
HP00581,Delhi NCR,Apartment,2,3,2,Semi-Furnished,730,5,12,High Rise,2005,20,North-West,8340000
HP02079,Ahmedabad,Apartment,4,5,1,Unfurnished,1641,6,6,Mid Rise,2012,13,North-West,10940000
HP00159,MMR,Apartment,2,2,2,Furnished,988,8,8,Mid Rise,2015,10,South,20630000
HP02052,MMR,Apartment,2,2,2,Furnished,1089,10,13,High Rise,2012,13,East,24820000
HP00034,Chennai,Apartment,3,4,2,Semi-Furnished,1609,3,9,Gated Community,2021,4,East,23040000
HP01957,Bengaluru,Apartment,3,4,1,Semi-Furnished,1837,7,10,Gated Community,2018,7,West,24550000
HP01228,MMR,Apartment,3,3,2,Furnished,1898,3,9,Mid Rise,2022,3,North-West,43610000
HP00753,Hyderabad,Independent House,4,4,1,Furnished,2131,0,2,Standalone Building,2013,12,South-East,28960000
HP02077,Delhi NCR,Apartment,2,2,2,Semi-Furnished,785,12,22,High Rise,2022,3,East,9460000
HP00153,Delhi NCR,Independent House,3,4,2,Furnished,1575,0,1,Bungalow,2002,23,East,23480000
HP00618,Chennai,Penthouse,5,6,1,Unfurnished,2433,30,38,High Rise,2016,9,South-East,44450000
HP02010,Pune,Apartment,2,2,1,Semi-Furnished,940,17,32,High Rise,2007,18,South,10860000
HP00955,Bengaluru,Apartment,4,5,1,Unfurnished,1764,4,7,Mid Rise,1997,28,North,20440000
HP02166,Hyderabad,Apartment,2,3,2,Semi-Furnished,861,5,7,Gated Community,2025,0,North-East,9530000
HP00177,MMR,Apartment,4,5,2,Unfurnished,1844,4,12,Gated Community,2013,12,South-West,37980000
HP00590,MMR,Apartment,3,4,2,Furnished,1478,15,32,High Rise,2014,11,South-East,34290000
HP01165,Hyderabad,Studio,0,2,0,Unfurnished,522,4,24,High Rise,2014,11,West,4780000
HP00226,Chennai,Apartment,3,4,2,Semi-Furnished,1060,5,13,High Rise,2016,9,North,14360000
HP00730,Ahmedabad,Apartment,2,2,3,Semi-Furnished,998,14,20,High Rise,2013,12,East,7670000
HP00990,Hyderabad,Row House,4,5,1,Unfurnished,2534,1,3,Standalone Building,2011,14,North-East,26840000
HP01094,Delhi NCR,Apartment,2,2,3,Furnished,939,25,38,High Rise,2017,8,North-West,12640000
HP00037,Chennai,Apartment,3,4,1,Semi-Furnished,1507,5,6,Gated Community,2022,3,South-West,20990000
HP00287,Kolkata,Apartment,2,3,1,Semi-Furnished,738,3,10,Mid Rise,2004,21,North,7720000
HP00525,Pune,Independent House,3,3,1,Unfurnished,1377,4,4,Low Rise,2022,3,South-East,16440000
HP00652,Chennai,Villa,3,3,1,Semi-Furnished,1875,4,5,Standalone Building,2009,16,North-West,33370000
HP02114,Hyderabad,Independent House,3,4,3,Unfurnished,1533,4,10,Gated Community,1993,32,East,14730000
HP01191,Hyderabad,Villa,4,5,2,Unfurnished,2105,9,9,Gated Community,2014,11,South-East,27900000
HP01807,Bengaluru,Apartment,2,3,2,Unfurnished,963,4,5,Standalone Building,2016,9,South,10410000
HP00475,Ahmedabad,Penthouse,3,4,2,Unfurnished,1507,20,32,High Rise,2024,1,South,14530000
HP00567,Hyderabad,Apartment,3,4,1,Unfurnished,1630,3,4,Standalone Building,2020,5,North,16140000
HP01772,Kolkata,Apartment,2,3,2,Unfurnished,1141,6,8,Mid Rise,2022,3,East,13330000
HP00118,Delhi NCR,Apartment,1,2,1,Semi-Furnished,751,22,34,High Rise,2011,14,East,9870000
HP01080,MMR,Apartment,2,3,3,Semi-Furnished,998,2,5,Standalone Building,2017,8,East,21090000
HP02212,MMR,Apartment,3,3,2,Semi-Furnished,1153,29,38,High Rise,2018,7,North-West,32680000
HP00666,MMR,Apartment,2,2,1,Semi-Furnished,959,11,34,High Rise,2019,6,North-West,23850000
HP00481,Delhi NCR,Independent House,3,3,2,Furnished,1500,8,11,Gated Community,2007,18,North-West,18730000
HP00723,Bengaluru,Independent House,4,4,2,Semi-Furnished,2004,0,3,Standalone Building,2011,14,East,23800000
HP00460,Ahmedabad,Apartment,4,5,2,Unfurnished,1700,3,8,Mid Rise,2006,19,North-West,13130000
HP02061,Chennai,Apartment,2,2,2,Unfurnished,866,1,11,Mid Rise,2025,0,East,9250000
HP02351,Delhi NCR,Apartment,3,4,1,Unfurnished,1552,2,10,Mid Rise,2001,24,North-East,18260000
HP01986,Hyderabad,Apartment,4,4,1,Unfurnished,1470,2,4,Standalone Building,2018,7,North-East,17680000
HP00467,Delhi NCR,Villa,2,3,2,Unfurnished,1250,0,3,Bungalow,2021,4,South,18210000
HP00530,Hyderabad,Studio,0,1,1,Furnished,535,3,40,High Rise,2007,18,North-East,5480000
HP00389,Bengaluru,Penthouse,4,4,2,Unfurnished,1610,10,25,High Rise,2011,14,East,27150000
HP02110,Chennai,Independent House,3,3,2,Unfurnished,1373,2,3,Low Rise,2025,0,North-West,16840000
HP01324,Ahmedabad,Independent House,4,5,2,Semi-Furnished,1603,1,2,Standalone Building,2011,14,South-East,12530000
HP01207,Hyderabad,Apartment,2,3,2,Unfurnished,944,0,5,Standalone Building,2020,5,North-West,9090000
HP00596,Pune,Apartment,3,4,2,Unfurnished,1100,3,4,Standalone Building,2008,17,North-East,11380000
HP00114,Ahmedabad,Studio,0,2,1,Furnished,450,20,29,High Rise,2000,25,North,2960000
HP00295,Chennai,Independent House,4,4,1,Furnished,2324,9,9,Gated Community,2009,16,South-West,28300000
HP00825,MMR,Apartment,3,4,2,Furnished,1305,4,9,Gated Community,2006,19,North,26920000
HP02095,Bengaluru,Apartment,3,4,1,Semi-Furnished,1040,0,3,Standalone Building,2016,9,South-East,16720000
HP01587,Chennai,Row House,2,3,2,Semi-Furnished,812,0,3,Bungalow,2017,8,South-West,11670000
HP01344,MMR,Apartment,3,4,3,Semi-Furnished,1516,14,17,High Rise,2025,0,North-East,37520000
HP00502,Ahmedabad,Independent House,2,3,2,Furnished,1074,1,4,Standalone Building,2018,7,East,8320000
HP01577,Delhi NCR,Studio,0,2,1,Furnished,328,15,39,High Rise,2013,12,East,4210000
HP00833,Delhi NCR,Apartment,4,5,1,Semi-Furnished,2099,26,33,High Rise,2025,0,South-West,28840000
HP00309,Chennai,Villa,3,4,2,Semi-Furnished,1702,0,5,Standalone Building,2014,11,South,25130000
HP00896,Pune,Independent House,3,4,3,Furnished,1159,4,12,Gated Community,2021,4,South-East,17280000
HP01447,Delhi NCR,Apartment,4,5,2,Semi-Furnished,2204,6,8,Gated Community,2008,17,South-West,24750000
HP00053,Bengaluru,Apartment,2,2,2,Semi-Furnished,796,19,35,High Rise,2018,7,North-West,12870000
HP00695,MMR,Apartment,2,3,1,Furnished,717,1,5,Low Rise,2022,3,North-West,16620000
HP02024,MMR,Apartment,2,3,2,Unfurnished,811,9,10,Mid Rise,2018,7,North-East,17430000
HP01715,Pune,Apartment,2,3,2,Furnished,758,8,9,Mid Rise,2012,13,North-East,10070000
HP00985,MMR,Villa,4,5,1,Unfurnished,1509,1,2,Standalone Building,2007,18,North-East,33060000
HP01396,Ahmedabad,Apartment,1,2,2,Unfurnished,486,8,8,Gated Community,2014,11,South-East,3160000
HP00222,Ahmedabad,Independent House,2,3,2,Unfurnished,932,0,3,Bungalow,2018,7,North-East,7310000
HP01689,Pune,Apartment,3,4,2,Semi-Furnished,1208,10,10,Gated Community,2005,20,North,14250000
HP01020,Bengaluru,Independent House,3,4,1,Unfurnished,1862,0,3,Bungalow,2007,18,South-East,22390000
HP01023,Pune,Apartment,2,3,1,Furnished,1186,12,12,High Rise,2008,17,North-West,13680000
HP01862,Pune,Apartment,4,5,1,Semi-Furnished,1602,2,9,Mid Rise,2008,17,North-East,17830000
HP02234,Ahmedabad,Apartment,3,3,1,Semi-Furnished,1845,1,26,High Rise,2003,22,South,15080000
HP01206,Bengaluru,Independent House,4,5,2,Unfurnished,1665,0,3,Bungalow,2022,3,South-East,20740000
HP01204,Pune,Villa,5,6,1,Unfurnished,2678,0,2,Bungalow,2016,9,East,41490000
HP00534,MMR,Apartment,3,4,1,Unfurnished,1112,5,9,Gated Community,2018,7,North,26440000
HP00248,Bengaluru,Apartment,2,3,1,Furnished,1220,14,20,High Rise,1997,28,North-East,15900000
HP02133,MMR,Apartment,1,2,1,Semi-Furnished,595,3,15,High Rise,2025,0,South-West,14820000
HP01160,Kolkata,Studio,0,2,0,Furnished,442,13,22,High Rise,1998,27,South-West,3780000
HP00710,Pune,Apartment,1,2,1,Semi-Furnished,576,10,17,High Rise,2024,1,North-West,8270000
HP02090,Hyderabad,Row House,2,2,1,Furnished,785,0,3,Bungalow,2023,2,North,10450000
HP01770,Kolkata,Studio,0,1,0,Semi-Furnished,416,15,40,High Rise,2017,8,East,3930000
HP00616,MMR,Apartment,3,4,2,Furnished,1737,0,3,Low Rise,2016,9,North,37300000
HP02285,Pune,Penthouse,3,3,2,Unfurnished,1594,13,18,High Rise,2009,16,South,23860000
HP01771,Kolkata,Apartment,1,2,2,Semi-Furnished,674,6,6,Gated Community,2011,14,South-East,7380000
HP00794,Chennai,Penthouse,4,4,2,Unfurnished,2217,17,29,High Rise,2010,15,South,35070000
HP02022,Delhi NCR,Apartment,2,2,1,Unfurnished,857,1,10,Mid Rise,2017,8,East,10900000
HP01111,Hyderabad,Apartment,3,4,1,Unfurnished,1012,1,12,Mid Rise,2018,7,North-East,10880000
HP02199,MMR,Apartment,2,2,3,Furnished,871,7,21,High Rise,2016,9,South-West,20530000
HP00916,Bengaluru,Apartment,2,3,1,Unfurnished,914,5,9,Gated Community,2024,1,South-East,11290000
HP01868,MMR,Independent House,5,6,3,Semi-Furnished,3020,0,2,Bungalow,2016,9,North,72760000
HP01648,Delhi NCR,Apartment,3,4,1,Unfurnished,1104,3,13,High Rise,2007,18,North-West,12680000
HP01090,MMR,Penthouse,4,4,1,Furnished,1583,8,31,High Rise,2022,3,South-West,45360000
HP02038,Chennai,Independent House,3,3,1,Furnished,1084,8,11,Gated Community,2017,8,East,15260000
HP00469,Delhi NCR,Row House,2,2,1,Semi-Furnished,1218,1,2,Low Rise,2021,4,North-East,17490000
HP01457,Ahmedabad,Independent House,4,5,2,Unfurnished,1473,0,3,Bungalow,2016,9,South-West,9960000
HP01265,Kolkata,Studio,0,2,0,Furnished,426,5,7,Mid Rise,2013,12,West,4070000
HP00672,Chennai,Row House,2,3,2,Unfurnished,1027,0,3,Bungalow,2010,15,North-West,12770000
HP00622,Chennai,Penthouse,5,6,1,Semi-Furnished,3054,3,34,High Rise,2012,13,South-West,42140000
HP01318,Pune,Penthouse,3,3,1,Semi-Furnished,1430,2,32,High Rise,2013,12,South-West,22200000
HP01127,Pune,Villa,4,4,1,Unfurnished,2093,5,5,Low Rise,2020,5,South-East,32420000
HP00844,Delhi NCR,Apartment,4,5,1,Unfurnished,1665,4,13,High Rise,2002,23,East,19010000
HP00818,Pune,Studio,0,1,1,Unfurnished,419,5,7,Mid Rise,2016,9,North-East,4070000
HP01641,Ahmedabad,Apartment,1,1,1,Semi-Furnished,476,17,21,High Rise,1998,27,West,3160000
HP01679,MMR,Apartment,2,3,1,Semi-Furnished,847,4,6,Mid Rise,2025,0,South-East,19520000
HP02360,Kolkata,Apartment,3,4,2,Unfurnished,1664,9,10,Mid Rise,2008,17,South-East,16380000
HP00832,MMR,Apartment,2,3,2,Furnished,1133,5,5,Low Rise,2007,18,East,24780000
HP00956,Chennai,Apartment,1,2,1,Semi-Furnished,549,5,10,Gated Community,2014,11,South,6340000
HP01878,Delhi NCR,Apartment,3,3,2,Semi-Furnished,1589,31,36,High Rise,2010,15,South,22330000
HP01081,Chennai,Studio,0,2,1,Semi-Furnished,452,6,6,Mid Rise,2020,5,North-West,5470000
HP01660,Delhi NCR,Apartment,4,5,2,Unfurnished,2590,22,38,High Rise,2020,5,South,35780000
HP01603,Bengaluru,Apartment,3,4,1,Unfurnished,1528,11,12,High Rise,2024,1,North-West,20970000
HP01315,MMR,Apartment,3,4,1,Unfurnished,1144,3,10,Gated Community,2009,16,North,21450000
HP02071,Pune,Row House,3,4,1,Unfurnished,1626,2,3,Standalone Building,2008,17,South-East,16380000
HP01924,Kolkata,Apartment,3,3,1,Furnished,1079,5,12,Gated Community,2010,15,South,13660000
HP01517,Ahmedabad,Studio,0,2,1,Semi-Furnished,492,10,12,Mid Rise,2016,9,North-West,3120000
HP01712,Delhi NCR,Apartment,3,3,1,Semi-Furnished,1585,6,8,Mid Rise,2025,0,South-West,20810000
HP00988,MMR,Apartment,3,4,1,Furnished,1695,2,8,Gated Community,2022,3,West,39140000
HP00797,Kolkata,Villa,3,3,2,Semi-Furnished,1812,0,3,Bungalow,2022,3,East,20660000
HP00824,Pune,Penthouse,5,6,3,Semi-Furnished,3336,15,33,High Rise,2020,5,West,53930000
HP02339,Ahmedabad,Apartment,3,4,2,Semi-Furnished,1890,4,7,Mid Rise,2007,18,North-West,12940000
HP01082,Kolkata,Apartment,3,3,1,Semi-Furnished,1433,1,12,Mid Rise,2015,10,South-East,14250000
HP01174,Ahmedabad,Studio,0,1,0,Unfurnished,304,3,7,Mid Rise,2005,20,North-East,2240000
HP00610,Ahmedabad,Apartment,4,5,1,Unfurnished,2331,6,11,Gated Community,2015,10,North,17740000
HP00437,Pune,Apartment,3,3,1,Unfurnished,1401,2,11,Mid Rise,2010,15,East,19540000
HP01330,Chennai,Apartment,1,2,2,Unfurnished,677,6,7,Gated Community,2025,0,North-East,8180000
HP00742,Ahmedabad,Apartment,3,3,1,Unfurnished,1770,5,15,High Rise,2021,4,West,12110000
HP01975,MMR,Apartment,2,3,2,Semi-Furnished,905,5,9,Gated Community,2006,19,North-East,17080000
HP01633,Bengaluru,Apartment,3,4,1,Semi-Furnished,1788,7,8,Mid Rise,2010,15,South-East,23630000
HP00545,Pune,Row House,3,3,1,Semi-Furnished,1590,6,6,Gated Community,2009,16,North,21350000
HP01792,Ahmedabad,Row House,4,4,1,Unfurnished,2148,0,1,Bungalow,2009,16,South,16730000
HP00691,Bengaluru,Apartment,3,3,2,Semi-Furnished,1401,11,11,Mid Rise,2024,1,South-East,22190000
HP00142,Kolkata,Apartment,2,2,2,Semi-Furnished,1239,4,8,Mid Rise,2007,18,South,12850000
HP01696,MMR,Apartment,2,3,2,Unfurnished,1264,19,38,High Rise,2005,20,South-East,24310000
HP01611,MMR,Apartment,3,4,1,Semi-Furnished,1672,28,29,High Rise,1995,30,North-East,34880000
HP00270,Delhi NCR,Apartment,3,4,1,Semi-Furnished,1881,11,14,High Rise,2012,13,West,22790000
HP02082,Kolkata,Apartment,3,4,1,Unfurnished,1418,4,40,High Rise,2018,7,North,13460000
HP01263,Hyderabad,Apartment,2,2,2,Furnished,1144,13,19,High Rise,2023,2,South,15180000
HP00223,Hyderabad,Row House,2,3,1,Unfurnished,998,0,2,Bungalow,2012,13,South,12150000
HP01856,MMR,Apartment,1,2,2,Semi-Furnished,747,4,8,Gated Community,2025,0,South-East,18030000
HP00125,Bengaluru,Apartment,2,3,1,Unfurnished,1131,11,32,High Rise,1990,35,North-East,11170000
HP00857,MMR,Apartment,2,3,2,Unfurnished,1173,3,11,Mid Rise,2009,16,North,24990000
HP00014,Kolkata,Studio,0,2,0,Unfurnished,332,2,21,High Rise,2018,7,North,2910000
HP01628,Pune,Apartment,3,3,1,Semi-Furnished,1388,4,37,High Rise,2008,17,South-East,18230000
HP01836,Kolkata,Penthouse,4,5,1,Unfurnished,1533,7,33,High Rise,2021,4,North,19420000
HP01192,MMR,Studio,0,2,1,Unfurnished,383,1,7,Mid Rise,2007,18,South-West,6710000
HP00662,Delhi NCR,Apartment,3,4,2,Unfurnished,1643,13,38,High Rise,2006,19,West,20220000
HP00974,MMR,Studio,0,2,0,Semi-Furnished,450,8,9,Mid Rise,2025,0,North-East,9550000
HP01754,Chennai,Apartment,4,5,1,Semi-Furnished,1414,3,9,Gated Community,2015,10,South,16340000
HP00256,Delhi NCR,Apartment,3,4,1,Unfurnished,1007,1,2,Standalone Building,2005,20,North-West,11640000
HP01949,Bengaluru,Penthouse,6,6,1,Semi-Furnished,2166,26,29,High Rise,2019,6,South-West,44720000
HP01488,Chennai,Apartment,3,4,1,Semi-Furnished,1892,3,3,Standalone Building,2010,15,North,19630000
HP02324,Chennai,Apartment,3,3,2,Semi-Furnished,1209,3,4,Standalone Building,2011,14,North-West,14750000
HP01055,Kolkata,Apartment,3,3,2,Semi-Furnished,1778,5,17,High Rise,2009,16,North,15880000
HP01895,Ahmedabad,Apartment,2,3,1,Semi-Furnished,756,3,11,Gated Community,2021,4,North-East,6580000
HP00979,Kolkata,Row House,2,3,2,Unfurnished,1176,0,3,Bungalow,2025,0,North-West,15200000
HP01906,Hyderabad,Villa,3,4,1,Semi-Furnished,1091,6,9,Gated Community,2025,0,North-West,16420000
HP01693,Kolkata,Apartment,2,2,2,Unfurnished,755,5,12,Mid Rise,2018,7,North,7240000
HP00856,Pune,Villa,3,3,2,Semi-Furnished,1346,2,8,Gated Community,2010,15,South,19720000
HP01870,Kolkata,Apartment,2,3,1,Unfurnished,704,8,12,Gated Community,2017,8,South-East,7130000
HP01462,Kolkata,Apartment,3,4,2,Semi-Furnished,1341,2,16,High Rise,2022,3,North-East,15290000
HP02200,Ahmedabad,Apartment,2,2,2,Unfurnished,912,18,21,High Rise,2007,18,North,7300000
HP01889,Chennai,Apartment,2,2,2,Unfurnished,1201,10,12,Mid Rise,2011,14,North-West,16790000
HP00188,MMR,Studio,0,1,1,Unfurnished,317,1,4,Standalone Building,2012,13,North,5650000
HP01234,Ahmedabad,Apartment,2,2,1,Unfurnished,1297,9,9,Mid Rise,2014,11,West,9800000
HP01301,Delhi NCR,Studio,0,2,0,Furnished,505,32,38,High Rise,2017,8,West,7210000
HP00772,Chennai,Apartment,3,4,2,Unfurnished,1502,8,30,High Rise,2013,12,South,17450000
HP01632,Bengaluru,Apartment,2,2,1,Semi-Furnished,1200,21,22,High Rise,2006,19,South-West,14830000
HP01896,Delhi NCR,Apartment,2,3,1,Unfurnished,1159,4,4,Low Rise,2009,16,South-West,14450000
HP00513,Chennai,Row House,3,4,2,Furnished,1154,1,3,Low Rise,2019,6,South-West,15760000
HP00935,Pune,Apartment,3,3,1,Unfurnished,1523,23,23,High Rise,2010,15,North-East,18130000
HP00589,Delhi NCR,Apartment,1,1,3,Semi-Furnished,525,11,40,High Rise,2009,16,South-East,6380000
HP00946,Chennai,Apartment,1,1,3,Semi-Furnished,646,2,3,Standalone Building,2015,10,North-East,9850000
HP01944,Bengaluru,Apartment,3,4,1,Unfurnished,1081,17,17,High Rise,2007,18,South-East,13420000
HP00296,Bengaluru,Apartment,4,5,2,Unfurnished,2053,21,25,High Rise,1997,28,South,23790000
HP01382,Bengaluru,Apartment,4,5,1,Unfurnished,2573,23,26,High Rise,2015,10,West,35190000
